Pclass,Gender,Age,SibSp,ParCh,Fare,Embarked,Status
1,Female,29.0,0,0,211.34,Southampton,S
1,Male,0.9,1,2,151.55,Southampton,S
1,Female,2.0,1,2,151.55,Southampton,D
1,Male,30.0,1,2,151.55,Southampton,D
1,Female,25.0,1,2,151.55,Southampton,D
1,Male,48.0,0,0,26.55,Southampton,S
1,Female,63.0,1,0,77.96,Southampton,S
1,Male,39.0,0,0,0.00,Southampton,D
1,Female,53.0,2,0,51.48,Southampton,S
1,Male,71.0,0,0,49.50,Cherbourg,D
1,Male,47.0,1,0,227.53,Cherbourg,D
1,Female,18.0,1,0,227.53,Cherbourg,S
1,Female,24.0,0,0,69.30,Cherbourg,S
1,Female,26.0,0,0,78.85,Southampton,S
1,Male,80.0,0,0,30.00,Southampton,S
1,Male,,0,0,25.93,Southampton,D
1,Male,24.0,0,1,247.52,Cherbourg,D
1,Female,50.0,0,1,247.52,Cherbourg,S
1,Female,32.0,0,0,76.29,Cherbourg,S
1,Male,36.0,0,0,75.24,Cherbourg,D
1,Male,37.0,1,1,52.55,Southampton,S
1,Female,47.0,1,1,52.55,Southampton,S
1,Male,26.0,0,0,30.00,Cherbourg,S
1,Female,42.0,0,0,227.53,Cherbourg,S
1,Female,29.0,0,0,221.78,Southampton,S
1,Male,25.0,0,0,26.00,Cherbourg,D
1,Male,25.0,1,0,91.08,Cherbourg,S
1,Female,19.0,1,0,91.08,Cherbourg,S
1,Female,35.0,0,0,135.63,Southampton,S
1,Male,28.0,0,0,26.55,Southampton,S
1,Male,45.0,0,0,35.50,Southampton,D
1,Male,40.0,0,0,31.00,Cherbourg,S
1,Female,30.0,0,0,164.87,Southampton,S
1,Female,58.0,0,0,26.55,Southampton,S
1,Male,42.0,0,0,26.55,Southampton,D
1,Female,45.0,0,0,262.38,Cherbourg,S
1,Female,22.0,0,1,55.00,Southampton,S
1,Male,,0,0,26.55,Southampton,S
1,Male,41.0,0,0,30.50,Southampton,D
1,Male,48.0,0,0,50.50,Cherbourg,D
1,Male,,0,0,39.60,Cherbourg,D
1,Female,44.0,0,0,27.72,Cherbourg,S
1,Female,59.0,2,0,51.48,Southampton,S
1,Female,60.0,0,0,76.29,Cherbourg,S
1,Female,41.0,0,0,134.50,Cherbourg,S
1,Male,45.0,0,0,26.55,Southampton,D
1,Male,,0,0,31.00,Southampton,D
1,Male,42.0,0,0,26.29,Southampton,S
1,Female,53.0,0,0,27.45,Cherbourg,S
1,Male,36.0,0,1,512.33,Cherbourg,S
