Volume,Machine
154.27,Machine 1
150.03,Machine 1
151.14,Machine 1
145.47,Machine 1
149.71,Machine 1
153,Machine 1
150.32,Machine 1
153.38,Machine 1
151.4,Machine 1
151.83,Machine 1
151.16,Machine 1
151.6,Machine 1
153.78,Machine 1
152.63,Machine 1
153.21,Machine 1
153.76,Machine 1
151.97,Machine 1
151.21,Machine 1
151.93,Machine 1
152.75,Machine 1
150.23,Machine 1
150.52,Machine 1
151.58,Machine 1
150.34,Machine 1
155.12,Machine 1
150.88,Machine 1
152.66,Machine 1
148.29,Machine 1
150.87,Machine 1
147.07,Machine 1
151.49,Machine 1
145.44,Machine 1
153.34,Machine 1
149.94,Machine 1
149.06,Machine 1
149.92,Machine 1
153.01,Machine 1
149.76,Machine 1
153.2,Machine 1
150.53,Machine 1
150.78,Machine 1
147.63,Machine 1
153.22,Machine 1
154.1,Machine 1
150.25,Machine 1
151.5,Machine 1
149.37,Machine 1
150.69,Machine 1
149.66,Machine 1
153.33,Machine 1
149.88,Machine 1
151.26,Machine 1
154.65,Machine 1
149.73,Machine 1
149.44,Machine 1
154.95,Machine 1
150.65,Machine 1
151.86,Machine 1
152.52,Machine 1
155.61,Machine 1
152.7,Machine 1
153.98,Machine 1
148.8,Machine 1
154.58,Machine 1
150.74,Machine 1
154.17,Machine 1
151.62,Machine 1
148.58,Machine 1
149.12,Machine 1
149.36,Machine 1
149.25,Machine 1
149.78,Machine 1
148.14,Machine 1
149.9,Machine 1
150.08,Machine 1
148.98,Machine 1
151.9,Machine 1
155.01,Machine 1
150.16,Machine 1
152.14,Machine 1
152.11,Machine 1
153.32,Machine 1
149.97,Machine 1
154.35,Machine 1
152.86,Machine 1
150.89,Machine 1
147.53,Machine 1
149.37,Machine 1
153.57,Machine 1
149.74,Machine 1
149.55,Machine 1
152.79,Machine 1
148.11,Machine 1
152.91,Machine 1
149.02,Machine 1
152.85,Machine 1
151.03,Machine 1
152.08,Machine 1
152.29,Machine 1
148.18,Machine 1
152.87,Machine 2
154.68,Machine 2
154.21,Machine 2
155.91,Machine 2
152.63,Machine 2
150.45,Machine 2
149.57,Machine 2
154.1,Machine 2
152.84,Machine 2
153.46,Machine 2
150.57,Machine 2
152.29,Machine 2
149.33,Machine 2
153.53,Machine 2
150.68,Machine 2
151.33,Machine 2
150.55,Machine 2
149.6,Machine 2
154.5,Machine 2
153.58,Machine 2
152.5,Machine 2
153.61,Machine 2
155.54,Machine 2
151.43,Machine 2
151.67,Machine 2
151.74,Machine 2
150.3,Machine 2
145.68,Machine 2
149.45,Machine 2
151.46,Machine 2
151.5,Machine 2
151.53,Machine 2
147.03,Machine 2
152.35,Machine 2
152.83,Machine 2
150.04,Machine 2
147.74,Machine 2
149.33,Machine 2
154.97,Machine 2
150.5,Machine 2
152.61,Machine 2
153.91,Machine 2
153.08,Machine 2
152.55,Machine 2
151.77,Machine 2
152.9,Machine 2
154.66,Machine 2
149.63,Machine 2
145.69,Machine 2
150.96,Machine 2
149.37,Machine 2
152.14,Machine 2
151.13,Machine 2
151.25,Machine 2
148.58,Machine 2
152.38,Machine 2
150.73,Machine 2
152.25,Machine 2
151.03,Machine 2
154.57,Machine 2
149.61,Machine 2
151.5,Machine 2
154.67,Machine 2
150.87,Machine 2
150.15,Machine 2
151.79,Machine 2
151.66,Machine 2
155.44,Machine 2
155.21,Machine 2
153.71,Machine 2
150.09,Machine 2
151.09,Machine 2
155.21,Machine 2
150.43,Machine 2
154.71,Machine 2
148.23,Machine 2
149.12,Machine 2
152.2,Machine 2
149.84,Machine 2
152.23,Machine 2
150.19,Machine 2
155.25,Machine 2
151.68,Machine 2
156.23,Machine 2
149.48,Machine 2
154.82,Machine 2
151.86,Machine 2
150.54,Machine 2
153.24,Machine 2
153.72,Machine 2
153.94,Machine 2
152.73,Machine 2
151.92,Machine 2
154.04,Machine 2
155.04,Machine 2
152.05,Machine 2
151.41,Machine 2
153.76,Machine 2
150.75,Machine 2
147.8,Machine 2
